* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point spectrum using Hann window and 32 averages 
* Dated: 16-jun-2021 17:42:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point spectrum using Hann window and 32 averages Input RMS 115,4 dB, 113,9 dBC, 115,6 dBA
* Measurement: jun 16 17:42:42
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
11.719 74.399 0
17.578 79.304 0
23.438 81.734 0
29.297 85.375 0
35.156 86.681 0
41.016 85.103 0
46.875 86.280 0
52.734 84.910 0
58.594 80.580 0
64.453 77.314 0
70.312 80.463 0
76.172 81.060 0
82.031 79.627 0
87.891 76.592 0
93.750 76.988 0
99.609 78.716 0
105.469 80.025 0
111.328 80.243 0
117.188 79.327 0
123.047 79.671 0
128.906 80.625 0
134.766 79.903 0
140.625 78.482 0
146.484 79.697 0
152.344 78.367 0
158.203 76.940 0
164.062 75.089 0
169.922 75.747 0
175.781 75.069 0
181.641 75.700 0
187.500 75.374 0
193.359 75.660 0
199.219 76.923 0
205.078 77.082 0
210.938 76.781 0
216.797 75.529 0
222.656 76.974 0
228.516 76.600 0
234.375 75.971 0
240.234 76.300 0
246.094 77.272 0
251.953 77.956 0
257.812 77.119 0
263.672 76.630 0
269.531 76.712 0
275.391 76.131 0
281.250 77.175 0
287.109 77.685 0
292.969 78.099 0
298.828 78.824 0
304.688 77.050 0
310.547 77.304 0
316.406 78.675 0
322.266 78.220 0
328.125 78.233 0
333.984 77.606 0
339.844 78.885 0
345.703 77.410 0
351.562 76.550 0
357.422 77.404 0
363.281 77.188 0
369.141 78.138 0
375.000 78.406 0
380.859 78.849 0
386.719 78.402 0
392.578 78.198 0
398.438 77.382 0
404.297 78.402 0
410.156 77.683 0
416.016 78.303 0
421.875 78.884 0
427.734 77.403 0
433.594 77.884 0
439.453 78.031 0
445.312 78.499 0
451.172 77.856 0
457.031 78.309 0
462.891 78.232 0
468.750 78.111 0
474.609 76.981 0
480.469 78.173 0
486.328 78.852 0
492.188 77.632 0
498.047 77.303 0
503.906 78.551 0
509.766 78.614 0
515.625 77.143 0
521.484 76.545 0
527.344 77.572 0
533.203 78.427 0
539.062 78.479 0
544.922 77.554 0
550.781 77.906 0
556.641 77.361 0
562.500 77.170 0
568.359 77.825 0
574.219 79.137 0
580.078 77.395 0
585.938 78.413 0
591.797 78.105 0
597.656 78.457 0
603.516 77.656 0
609.375 76.990 0
615.234 77.342 0
621.094 77.479 0
626.953 75.310 0
632.812 75.927 0
638.672 77.074 0
644.531 77.391 0
650.391 77.102 0
656.250 77.271 0
662.109 77.425 0
667.969 77.072 0
673.828 77.278 0
679.688 75.975 0
685.547 78.380 0
691.406 78.324 0
697.266 78.369 0
703.125 78.890 0
708.984 78.046 0
714.844 77.607 0
720.703 78.669 0
726.562 78.537 0
732.422 76.763 0
738.281 77.690 0
744.141 78.372 0
750.000 77.184 0
755.859 77.320 0
761.719 78.016 0
767.578 77.761 0
773.438 78.718 0
779.297 78.462 0
785.156 78.143 0
791.016 78.022 0
796.875 77.320 0
802.734 77.782 0
808.594 76.739 0
814.453 77.525 0
820.312 78.221 0
826.172 77.026 0
832.031 77.179 0
837.891 78.014 0
843.750 78.476 0
849.609 77.282 0
855.469 77.784 0
861.328 78.883 0
867.188 78.599 0
873.047 78.053 0
878.906 77.985 0
884.766 77.387 0
890.625 76.375 0
896.484 77.223 0
902.344 78.021 0
908.203 78.228 0
914.062 78.854 0
919.922 77.929 0
925.781 77.354 0
931.641 77.753 0
937.500 79.000 0
943.359 77.832 0
949.219 77.018 0
955.078 79.256 0
960.938 78.543 0
966.797 78.469 0
972.656 78.736 0
978.516 78.542 0
984.375 78.420 0
990.234 78.192 0
996.094 78.565 0
1001.953 78.671 0
1007.812 79.125 0
1013.672 78.241 0
1019.531 77.957 0
1025.391 77.830 0
1031.250 78.723 0
1037.109 77.942 0
1042.969 78.658 0
1048.828 78.781 0
1054.688 78.844 0
1060.547 77.899 0
1066.406 79.427 0
1072.266 80.085 0
1078.125 78.304 0
1083.984 79.262 0
1089.844 79.870 0
1095.703 78.645 0
1101.562 77.761 0
1107.422 77.590 0
1113.281 78.020 0
1119.141 77.730 0
1125.000 78.151 0
1130.859 78.133 0
1136.719 78.020 0
1142.578 78.208 0
1148.438 79.467 0
1154.297 78.826 0
1160.156 77.846 0
1166.016 78.014 0
1171.875 77.092 0
1177.734 77.405 0
1183.594 78.290 0
1189.453 78.351 0
1195.312 78.473 0
1201.172 77.598 0
1207.031 77.444 0
1212.891 77.184 0
1218.750 77.587 0
1224.609 79.065 0
1230.469 79.425 0
1236.328 78.828 0
1242.188 79.424 0
1248.047 78.053 0
1253.906 76.677 0
1259.766 76.229 0
1265.625 77.075 0
1271.484 78.054 0
1277.344 77.309 0
1283.203 77.643 0
1289.062 77.703 0
1294.922 77.504 0
1300.781 77.259 0
1306.641 76.314 0
1312.500 76.560 0
1318.359 76.515 0
1324.219 76.686 0
1330.078 76.714 0
1335.938 77.681 0
1341.797 78.121 0
1347.656 76.370 0
1353.516 78.111 0
1359.375 78.224 0
1365.234 77.772 0
1371.094 77.952 0
1376.953 78.429 0
1382.812 77.315 0
1388.672 77.316 0
1394.531 76.766 0
1400.391 76.846 0
1406.250 77.393 0
1412.109 77.469 0
1417.969 77.932 0
1423.828 77.756 0
1429.688 77.858 0
1435.547 78.274 0
1441.406 77.920 0
1447.266 77.408 0
1453.125 75.595 0
1458.984 75.181 0
1464.844 76.840 0
1470.703 76.913 0
1476.562 77.260 0
1482.422 77.218 0
1488.281 76.445 0
1494.141 76.583 0
1500.000 78.841 0
1505.859 78.142 0
1511.719 76.732 0
1517.578 76.637 0
1523.438 77.319 0
1529.297 77.780 0
1535.156 78.212 0
1541.016 77.445 0
1546.875 76.997 0
1552.734 77.361 0
1558.594 76.954 0
1564.453 77.973 0
1570.312 78.144 0
1576.172 77.817 0
1582.031 78.355 0
1587.891 77.638 0
1593.750 77.109 0
1599.609 77.327 0
1605.469 77.986 0
1611.328 77.028 0
1617.188 76.210 0
1623.047 77.656 0
1628.906 78.882 0
1634.766 78.802 0
1640.625 76.811 0
1646.484 77.068 0
1652.344 77.218 0
1658.203 77.734 0
1664.062 78.078 0
1669.922 77.998 0
1675.781 75.945 0
1681.641 76.375 0
1687.500 78.155 0
1693.359 78.009 0
1699.219 76.198 0
1705.078 76.957 0
1710.938 77.676 0
1716.797 78.886 0
1722.656 78.795 0
1728.516 78.328 0
1734.375 77.711 0
1740.234 77.224 0
1746.094 77.161 0
1751.953 77.485 0
1757.812 78.952 0
1763.672 77.933 0
1769.531 77.852 0
1775.391 77.461 0
1781.250 78.978 0
1787.109 78.669 0
1792.969 79.384 0
1798.828 78.085 0
1804.688 77.922 0
1810.547 78.312 0
1816.406 78.750 0
1822.266 78.780 0
1828.125 78.922 0
1833.984 79.172 0
1839.844 78.336 0
1845.703 77.639 0
1851.562 79.435 0
1857.422 78.704 0
1863.281 78.611 0
1869.141 79.080 0
1875.000 80.307 0
1880.859 79.676 0
1886.719 79.020 0
1892.578 79.475 0
1898.438 79.520 0
1904.297 79.180 0
1910.156 78.439 0
1916.016 79.168 0
1921.875 79.449 0
1927.734 79.450 0
1933.594 79.083 0
1939.453 78.360 0
1945.312 77.761 0
1951.172 78.724 0
1957.031 78.951 0
1962.891 78.263 0
1968.750 78.355 0
1974.609 78.349 0
1980.469 78.638 0
1986.328 77.951 0
1992.188 77.845 0
1998.047 78.771 0
2003.906 79.988 0
2009.766 79.428 0
2015.625 78.050 0
2021.484 78.497 0
2027.344 77.337 0
2033.203 77.028 0
2039.062 77.271 0
2044.922 78.406 0
2050.781 79.331 0
2056.641 77.699 0
2062.500 77.973 0
2068.359 77.659 0
2074.219 77.133 0
2080.078 79.340 0
2085.938 79.468 0
2091.797 78.688 0
2097.656 78.988 0
2103.516 78.520 0
2109.375 78.996 0
2115.234 79.067 0
2121.094 78.608 0
2126.953 76.953 0
2132.812 78.468 0
2138.672 78.751 0
2144.531 77.696 0
2150.391 78.562 0
2156.250 77.205 0
2162.109 76.369 0
2167.969 75.954 0
2173.828 77.863 0
2179.688 78.381 0
2185.547 76.506 0
2191.406 76.926 0
2197.266 78.109 0
2203.125 77.883 0
2208.984 77.507 0
2214.844 76.392 0
2220.703 77.040 0
2226.562 77.248 0
2232.422 78.616 0
2238.281 78.245 0
2244.141 77.465 0
2250.000 77.012 0
2255.859 76.937 0
2261.719 77.385 0
2267.578 77.906 0
2273.438 77.874 0
2279.297 77.632 0
2285.156 78.594 0
2291.016 77.668 0
2296.875 78.086 0
2302.734 78.518 0
2308.594 78.800 0
2314.453 77.671 0
2320.312 76.138 0
2326.172 76.825 0
2332.031 77.888 0
2337.891 77.688 0
2343.750 76.967 0
2349.609 76.232 0
2355.469 76.414 0
2361.328 78.363 0
2367.188 77.048 0
2373.047 77.295 0
2378.906 77.938 0
2384.766 78.834 0
2390.625 77.595 0
2396.484 76.616 0
2402.344 77.875 0
2408.203 78.251 0
2414.062 78.797 0
2419.922 78.736 0
2425.781 77.814 0
2431.641 78.000 0
2437.500 77.875 0
2443.359 76.839 0
2449.219 77.114 0
2455.078 76.522 0
2460.938 77.011 0
2466.797 77.344 0
2472.656 77.323 0
2478.516 77.819 0
2484.375 77.475 0
2490.234 77.213 0
2496.094 76.870 0
2501.953 76.985 0
2507.812 77.798 0
2513.672 79.261 0
2519.531 78.627 0
2525.391 77.173 0
2531.250 77.327 0
2537.109 76.824 0
2542.969 78.756 0
2548.828 78.109 0
2554.688 76.748 0
2560.547 76.744 0
2566.406 77.123 0
2572.266 78.003 0
2578.125 77.967 0
2583.984 77.790 0
2589.844 77.848 0
2595.703 78.360 0
2601.562 79.096 0
2607.422 79.019 0
2613.281 78.621 0
2619.141 78.978 0
2625.000 77.164 0
2630.859 77.809 0
2636.719 78.834 0
2642.578 78.413 0
2648.438 76.912 0
2654.297 77.555 0
2660.156 79.302 0
2666.016 78.778 0
2671.875 78.107 0
2677.734 78.410 0
2683.594 78.047 0
2689.453 79.205 0
2695.312 79.832 0
2701.172 78.876 0
2707.031 78.192 0
2712.891 78.795 0
2718.750 77.712 0
2724.609 77.330 0
2730.469 77.669 0
2736.328 77.862 0
2742.188 78.581 0
2748.047 79.701 0
2753.906 78.874 0
2759.766 77.951 0
2765.625 78.051 0
2771.484 78.854 0
2777.344 78.972 0
2783.203 77.695 0
2789.062 77.355 0
2794.922 75.765 0
2800.781 77.109 0
2806.641 77.275 0
2812.500 77.714 0
2818.359 79.120 0
2824.219 78.652 0
2830.078 79.341 0
2835.938 78.157 0
2841.797 77.325 0
2847.656 77.854 0
2853.516 77.664 0
2859.375 77.987 0
2865.234 77.552 0
2871.094 76.817 0
2876.953 78.048 0
2882.812 78.739 0
2888.672 77.644 0
2894.531 78.641 0
2900.391 78.846 0
2906.250 78.635 0
2912.109 77.009 0
2917.969 78.557 0
2923.828 78.796 0
2929.688 78.930 0
2935.547 78.126 0
2941.406 76.604 0
2947.266 78.758 0
2953.125 78.841 0
2958.984 78.885 0
2964.844 80.391 0
2970.703 80.365 0
2976.562 78.693 0
2982.422 78.833 0
2988.281 78.681 0
2994.141 78.104 0
3000.000 78.510 0
3005.859 78.401 0
3011.719 77.530 0
3017.578 78.763 0
3023.438 78.714 0
3029.297 78.889 0
3035.156 79.024 0
3041.016 79.026 0
3046.875 80.712 0
3052.734 80.141 0
3058.594 79.886 0
3064.453 80.468 0
3070.312 79.434 0
3076.172 78.945 0
3082.031 80.474 0
3087.891 80.945 0
3093.750 79.635 0
3099.609 79.499 0
3105.469 80.411 0
3111.328 79.763 0
3117.188 79.291 0
3123.047 79.774 0
3128.906 80.320 0
3134.766 81.124 0
3140.625 81.171 0
3146.484 80.929 0
3152.344 81.134 0
3158.203 81.131 0
3164.062 80.927 0
3169.922 80.354 0
3175.781 80.324 0
3181.641 81.780 0
3187.500 82.784 0
3193.359 82.098 0
3199.219 81.522 0
3205.078 82.079 0
3210.938 81.091 0
