* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point spectrum using Hann window and 32 averages 
* Dated: 28-jun-2021 11:38:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point spectrum using Hann window and 32 averages Input RMS 119,4 dB, 118,0 dBC, 119,7 dBA
* Measurement: jun 28 11:38:06
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
11.719 80.782 0
17.578 84.643 0
23.438 87.165 0
29.297 89.659 0
35.156 90.742 0
41.016 90.866 0
46.875 88.700 0
52.734 87.931 0
58.594 84.459 0
64.453 81.670 0
70.312 82.444 0
76.172 83.580 0
82.031 84.727 0
87.891 85.787 0
93.750 86.239 0
99.609 84.644 0
105.469 83.774 0
111.328 84.510 0
117.188 85.372 0
123.047 85.680 0
128.906 85.622 0
134.766 83.729 0
140.625 82.423 0
146.484 83.023 0
152.344 81.632 0
158.203 79.294 0
164.062 79.411 0
169.922 79.760 0
175.781 79.317 0
181.641 79.612 0
187.500 79.810 0
193.359 80.066 0
199.219 80.034 0
205.078 80.712 0
210.938 81.574 0
216.797 80.394 0
222.656 81.111 0
228.516 81.579 0
234.375 79.469 0
240.234 79.633 0
246.094 81.470 0
251.953 81.343 0
257.812 81.006 0
263.672 80.690 0
269.531 80.453 0
275.391 80.075 0
281.250 79.616 0
287.109 80.558 0
292.969 81.577 0
298.828 82.624 0
304.688 81.649 0
310.547 80.595 0
316.406 82.189 0
322.266 83.002 0
328.125 82.556 0
333.984 82.482 0
339.844 81.709 0
345.703 80.796 0
351.562 81.245 0
357.422 80.966 0
363.281 81.367 0
369.141 82.278 0
375.000 82.293 0
380.859 82.469 0
386.719 82.759 0
392.578 81.882 0
398.438 81.546 0
404.297 82.670 0
410.156 82.651 0
416.016 82.278 0
421.875 82.813 0
427.734 83.684 0
433.594 82.810 0
439.453 82.094 0
445.312 82.831 0
451.172 81.370 0
457.031 82.172 0
462.891 81.684 0
468.750 82.664 0
474.609 81.199 0
480.469 81.537 0
486.328 84.035 0
492.188 82.445 0
498.047 82.136 0
503.906 83.286 0
509.766 83.221 0
515.625 81.075 0
521.484 81.405 0
527.344 82.511 0
533.203 82.865 0
539.062 83.142 0
544.922 82.896 0
550.781 82.727 0
556.641 82.408 0
562.500 81.955 0
568.359 82.355 0
574.219 83.236 0
580.078 81.801 0
585.938 83.285 0
591.797 82.896 0
597.656 81.960 0
603.516 81.843 0
609.375 81.253 0
615.234 81.885 0
621.094 81.792 0
626.953 80.048 0
632.812 81.445 0
638.672 80.852 0
644.531 81.151 0
650.391 81.004 0
656.250 81.599 0
662.109 82.526 0
667.969 81.532 0
673.828 82.292 0
679.688 81.600 0
685.547 81.449 0
691.406 81.882 0
697.266 83.114 0
703.125 83.086 0
708.984 82.766 0
714.844 80.757 0
720.703 82.654 0
726.562 82.445 0
732.422 81.673 0
738.281 82.021 0
744.141 83.327 0
750.000 81.919 0
755.859 81.583 0
761.719 82.317 0
767.578 82.014 0
773.438 83.096 0
779.297 83.141 0
785.156 82.194 0
791.016 82.044 0
796.875 82.433 0
802.734 83.022 0
808.594 82.545 0
814.453 82.167 0
820.312 82.035 0
826.172 80.723 0
832.031 80.591 0
837.891 82.109 0
843.750 83.053 0
849.609 82.949 0
855.469 82.584 0
861.328 83.375 0
867.188 83.963 0
873.047 83.335 0
878.906 82.455 0
884.766 81.719 0
890.625 82.207 0
896.484 82.579 0
902.344 82.965 0
908.203 82.953 0
914.062 83.555 0
919.922 83.630 0
925.781 82.955 0
931.641 83.396 0
937.500 83.744 0
943.359 81.324 0
949.219 81.001 0
955.078 84.004 0
960.938 83.659 0
966.797 83.598 0
972.656 83.754 0
978.516 82.881 0
984.375 83.238 0
990.234 83.830 0
996.094 83.939 0
1001.953 83.112 0
1007.812 82.676 0
1013.672 83.081 0
1019.531 82.543 0
1025.391 82.639 0
1031.250 82.173 0
1037.109 82.273 0
1042.969 82.359 0
1048.828 83.262 0
1054.688 82.977 0
1060.547 83.140 0
1066.406 84.144 0
1072.266 85.113 0
1078.125 84.230 0
1083.984 83.844 0
1089.844 84.133 0
1095.703 82.904 0
1101.562 82.474 0
1107.422 83.884 0
1113.281 83.379 0
1119.141 84.170 0
1125.000 84.528 0
1130.859 84.406 0
1136.719 83.474 0
1142.578 83.839 0
1148.438 84.873 0
1154.297 84.491 0
1160.156 83.919 0
1166.016 83.121 0
1171.875 81.094 0
1177.734 82.935 0
1183.594 82.737 0
1189.453 82.758 0
1195.312 83.099 0
1201.172 82.777 0
1207.031 82.088 0
1212.891 81.072 0
1218.750 81.485 0
1224.609 83.524 0
1230.469 83.431 0
1236.328 83.680 0
1242.188 83.121 0
1248.047 82.884 0
1253.906 81.703 0
1259.766 81.287 0
1265.625 82.724 0
1271.484 83.670 0
1277.344 82.528 0
1283.203 81.088 0
1289.062 81.809 0
1294.922 82.382 0
1300.781 82.123 0
1306.641 82.119 0
1312.500 82.251 0
1318.359 81.599 0
1324.219 81.704 0
1330.078 81.437 0
1335.938 83.766 0
1341.797 83.949 0
1347.656 81.775 0
1353.516 82.525 0
1359.375 83.090 0
1365.234 82.537 0
1371.094 83.045 0
1376.953 83.099 0
1382.812 82.954 0
1388.672 82.929 0
1394.531 81.407 0
1400.391 82.329 0
1406.250 83.771 0
1412.109 82.989 0
1417.969 83.047 0
1423.828 82.051 0
1429.688 82.236 0
1435.547 83.313 0
1441.406 83.569 0
1447.266 82.295 0
1453.125 80.024 0
1458.984 80.501 0
1464.844 82.361 0
1470.703 82.618 0
1476.562 83.169 0
1482.422 83.158 0
1488.281 82.309 0
1494.141 82.454 0
1500.000 83.489 0
1505.859 82.265 0
1511.719 82.633 0
1517.578 81.997 0
1523.438 82.799 0
1529.297 83.346 0
1535.156 83.303 0
1541.016 82.953 0
1546.875 83.357 0
1552.734 83.314 0
1558.594 82.694 0
1564.453 82.908 0
1570.312 84.181 0
1576.172 83.639 0
1582.031 82.811 0
1587.891 82.756 0
1593.750 82.198 0
1599.609 83.147 0
1605.469 83.002 0
1611.328 82.361 0
1617.188 81.686 0
1623.047 82.809 0
1628.906 82.900 0
1634.766 83.481 0
1640.625 81.757 0
1646.484 82.434 0
1652.344 82.690 0
1658.203 82.834 0
1664.062 84.330 0
1669.922 83.432 0
1675.781 82.243 0
1681.641 82.102 0
1687.500 83.857 0
1693.359 83.136 0
1699.219 82.522 0
1705.078 82.330 0
1710.938 83.053 0
1716.797 84.033 0
1722.656 83.626 0
1728.516 83.573 0
1734.375 82.121 0
1740.234 81.796 0
1746.094 82.814 0
1751.953 83.720 0
1757.812 83.620 0
1763.672 82.424 0
1769.531 82.476 0
1775.391 82.991 0
1781.250 83.586 0
1787.109 83.217 0
1792.969 83.858 0
1798.828 83.055 0
1804.688 82.785 0
1810.547 83.804 0
1816.406 83.885 0
1822.266 83.431 0
1828.125 84.359 0
1833.984 83.174 0
1839.844 82.984 0
1845.703 83.370 0
1851.562 83.256 0
1857.422 81.932 0
1863.281 82.135 0
1869.141 84.013 0
1875.000 84.396 0
1880.859 82.567 0
1886.719 83.306 0
1892.578 83.563 0
1898.438 82.169 0
1904.297 82.522 0
1910.156 82.548 0
1916.016 83.328 0
1921.875 82.504 0
1927.734 83.772 0
1933.594 82.949 0
1939.453 81.829 0
1945.312 82.276 0
1951.172 82.292 0
1957.031 82.470 0
1962.891 82.039 0
1968.750 82.238 0
1974.609 82.203 0
1980.469 81.480 0
1986.328 81.982 0
1992.188 82.724 0
1998.047 82.982 0
2003.906 84.017 0
2009.766 83.956 0
2015.625 81.796 0
2021.484 82.118 0
2027.344 82.438 0
2033.203 81.773 0
2039.062 81.722 0
2044.922 82.433 0
2050.781 82.736 0
2056.641 82.164 0
2062.500 81.726 0
2068.359 80.409 0
2074.219 81.750 0
2080.078 83.091 0
2085.938 83.631 0
2091.797 83.983 0
2097.656 83.742 0
2103.516 82.659 0
2109.375 81.184 0
2115.234 82.307 0
2121.094 82.075 0
2126.953 80.991 0
2132.812 81.316 0
2138.672 82.498 0
2144.531 81.188 0
2150.391 82.076 0
2156.250 81.057 0
2162.109 81.484 0
2167.969 81.086 0
2173.828 81.283 0
2179.688 82.512 0
2185.547 81.071 0
2191.406 81.098 0
2197.266 82.682 0
2203.125 82.546 0
2208.984 81.401 0
2214.844 79.883 0
2220.703 80.623 0
2226.562 81.225 0
2232.422 82.546 0
2238.281 82.419 0
2244.141 81.811 0
2250.000 81.900 0
2255.859 82.139 0
2261.719 81.355 0
2267.578 81.402 0
2273.438 82.647 0
2279.297 82.421 0
2285.156 81.656 0
2291.016 81.936 0
2296.875 82.932 0
2302.734 82.687 0
2308.594 81.964 0
2314.453 81.214 0
2320.312 80.379 0
2326.172 81.361 0
2332.031 80.980 0
2337.891 81.163 0
2343.750 82.188 0
2349.609 82.163 0
2355.469 81.714 0
2361.328 81.854 0
2367.188 80.433 0
2373.047 82.053 0
2378.906 81.940 0
2384.766 82.187 0
2390.625 80.522 0
2396.484 81.616 0
2402.344 81.422 0
2408.203 81.379 0
2414.062 83.184 0
2419.922 82.327 0
2425.781 82.312 0
2431.641 82.710 0
2437.500 82.655 0
2443.359 81.412 0
2449.219 80.351 0
2455.078 80.854 0
2460.938 79.923 0
2466.797 81.546 0
2472.656 80.937 0
2478.516 82.975 0
2484.375 82.445 0
2490.234 82.729 0
2496.094 81.571 0
2501.953 82.145 0
2507.812 83.630 0
2513.672 83.372 0
2519.531 82.940 0
2525.391 81.989 0
2531.250 81.681 0
2537.109 80.824 0
2542.969 83.189 0
2548.828 83.340 0
2554.688 81.892 0
2560.547 81.923 0
2566.406 81.984 0
2572.266 81.694 0
2578.125 81.070 0
2583.984 82.447 0
2589.844 83.687 0
2595.703 83.262 0
2601.562 83.454 0
2607.422 83.705 0
2613.281 83.297 0
2619.141 83.335 0
2625.000 83.124 0
2630.859 84.176 0
2636.719 83.664 0
2642.578 83.409 0
2648.438 82.491 0
2654.297 82.949 0
2660.156 83.474 0
2666.016 83.105 0
2671.875 82.449 0
2677.734 83.015 0
2683.594 83.149 0
2689.453 83.331 0
2695.312 82.734 0
2701.172 83.004 0
2707.031 82.899 0
2712.891 83.125 0
2718.750 82.443 0
2724.609 82.197 0
2730.469 82.877 0
2736.328 81.787 0
2742.188 82.559 0
2748.047 84.449 0
2753.906 84.482 0
2759.766 84.275 0
2765.625 84.099 0
2771.484 84.475 0
2777.344 84.687 0
2783.203 83.473 0
2789.062 83.443 0
2794.922 83.213 0
2800.781 83.202 0
2806.641 83.210 0
2812.500 83.552 0
2818.359 83.718 0
2824.219 83.264 0
2830.078 85.259 0
2835.938 83.599 0
2841.797 82.259 0
2847.656 84.045 0
2853.516 84.379 0
2859.375 84.157 0
2865.234 83.323 0
2871.094 82.053 0
2876.953 83.584 0
2882.812 84.550 0
2888.672 83.981 0
2894.531 84.450 0
2900.391 84.585 0
2906.250 83.891 0
2912.109 83.010 0
2917.969 83.295 0
2923.828 84.422 0
2929.688 83.588 0
2935.547 83.372 0
2941.406 82.427 0
2947.266 83.751 0
2953.125 84.243 0
2958.984 85.333 0
2964.844 86.015 0
2970.703 85.463 0
2976.562 84.996 0
2982.422 84.398 0
2988.281 84.230 0
2994.141 84.338 0
3000.000 84.331 0
3005.859 84.368 0
3011.719 84.094 0
3017.578 84.058 0
3023.438 84.942 0
3029.297 84.335 0
3035.156 84.873 0
3041.016 85.757 0
3046.875 86.667 0
3052.734 85.967 0
3058.594 84.958 0
3064.453 85.634 0
3070.312 85.717 0
3076.172 84.542 0
3082.031 86.170 0
3087.891 86.821 0
3093.750 85.037 0
3099.609 84.825 0
3105.469 85.668 0
3111.328 85.242 0
3117.188 84.257 0
3123.047 85.277 0
3128.906 85.612 0
3134.766 85.661 0
3140.625 85.228 0
3146.484 85.708 0
3152.344 86.371 0
3158.203 87.146 0
3164.062 87.230 0
3169.922 86.881 0
3175.781 86.303 0
3181.641 86.167 0
3187.500 87.244 0
3193.359 86.585 0
3199.219 86.602 0
3205.078 87.017 0
3210.938 86.151 0
