* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point 1/3 octave RTA using Hann window and 32 averages 
* Dated: 28-jun-2021 11:39:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point 1/3 octave RTA using Hann window and 32 averages Input RMS 119,4 dB, 118,0 dBC, 119,7 dBA
* Measurement: jun 28 11:39:00
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
17.578 81.285 0
17.944 81.555 0
18.311 81.820 0
18.677 82.079 0
19.043 82.334 0
19.409 82.584 0
19.775 82.829 0
20.142 83.069 0
20.508 83.306 0
20.874 83.538 0
21.240 83.766 0
21.606 83.990 0
21.973 84.210 0
22.339 84.427 0
22.705 84.640 0
23.071 84.850 0
23.438 85.056 0
23.804 85.297 0
24.170 85.534 0
24.536 85.767 0
24.902 85.997 0
25.269 86.223 0
25.635 86.447 0
26.001 86.667 0
26.367 86.884 0
26.733 87.098 0
27.100 87.309 0
27.466 87.518 0
27.832 87.723 0
28.198 87.926 0
28.564 88.126 0
28.931 88.324 0
29.297 88.519 0
29.663 88.647 0
30.029 88.773 0
30.396 88.898 0
30.762 89.021 0
31.128 89.143 0
31.494 89.263 0
31.860 89.382 0
32.227 89.499 0
32.593 89.616 0
32.959 89.731 0
33.325 89.844 0
33.691 89.957 0
34.058 90.068 0
34.424 90.178 0
34.790 90.287 0
35.156 90.395 0
35.522 90.448 0
35.889 90.501 0
36.255 90.553 0
36.621 90.605 0
36.987 90.656 0
37.354 90.707 0
37.720 90.757 0
38.086 90.807 0
38.452 90.856 0
38.818 90.905 0
39.185 90.953 0
39.551 91.001 0
39.917 91.048 0
40.283 91.095 0
40.649 91.142 0
41.016 91.188 0
41.382 91.083 0
41.748 90.978 0
42.114 90.874 0
42.480 90.771 0
42.847 90.669 0
43.213 90.568 0
43.579 90.468 0
43.945 90.368 0
44.312 90.270 0
44.678 90.172 0
45.044 90.075 0
45.410 89.979 0
45.776 89.883 0
46.143 89.789 0
46.509 89.695 0
46.875 89.602 0
47.241 89.486 0
47.607 89.372 0
47.974 89.259 0
48.340 89.146 0
48.706 89.035 0
49.072 88.924 0
49.438 88.814 0
49.805 88.705 0
50.171 88.597 0
50.537 88.489 0
50.903 88.382 0
51.270 88.276 0
51.636 88.171 0
52.002 88.066 0
52.368 87.963 0
52.734 87.859 0
53.101 87.757 0
53.467 87.655 0
53.833 87.554 0
54.199 87.454 0
54.565 87.355 0
54.932 87.256 0
55.298 87.157 0
55.664 87.060 0
56.030 86.963 0
56.396 86.866 0
56.763 86.771 0
57.129 86.676 0
57.495 86.581 0
57.861 86.487 0
58.228 86.394 0
58.594 86.301 0
58.960 86.209 0
59.326 86.117 0
59.692 86.026 0
60.059 85.936 0
60.425 85.846 0
60.791 85.757 0
61.157 85.668 0
61.523 85.579 0
61.890 85.492 0
62.256 85.404 0
62.622 85.473 0
62.988 85.522 0
63.354 85.571 0
63.721 85.620 0
64.087 85.668 0
64.453 85.716 0
64.819 85.764 0
65.186 85.811 0
65.552 85.858 0
65.918 85.905 0
66.284 85.952 0
66.650 85.999 0
67.017 86.045 0
67.383 86.091 0
67.749 86.136 0
68.115 86.182 0
68.481 86.227 0
68.848 86.272 0
69.214 86.317 0
69.580 86.361 0
69.946 86.405 0
70.312 86.449 0
70.679 86.493 0
71.045 86.537 0
71.411 86.580 0
71.777 86.623 0
72.144 86.666 0
72.510 86.709 0
72.876 86.751 0
73.242 86.793 0
73.608 86.835 0
73.975 86.877 0
74.341 86.919 0
74.707 86.960 0
75.073 87.002 0
75.439 87.043 0
75.806 87.083 0
76.172 87.124 0
76.538 87.164 0
76.904 87.205 0
77.271 87.245 0
77.637 87.285 0
78.003 87.324 0
78.369 87.364 0
78.735 87.401 0
79.102 87.438 0
79.468 87.475 0
79.834 87.512 0
80.200 87.549 0
80.566 87.585 0
80.933 87.621 0
81.299 87.658 0
81.665 87.694 0
82.031 87.729 0
82.397 87.765 0
82.764 87.801 0
83.130 87.836 0
83.496 87.871 0
83.862 87.906 0
84.229 87.941 0
84.595 87.976 0
84.961 88.011 0
85.327 88.045 0
85.693 88.080 0
86.060 88.114 0
86.426 88.148 0
86.792 88.182 0
87.158 88.215 0
87.524 88.249 0
87.891 88.283 0
88.257 88.316 0
88.623 88.349 0
88.989 88.382 0
89.355 88.415 0
89.722 88.448 0
90.088 88.480 0
90.454 88.513 0
90.820 88.545 0
91.187 88.578 0
91.553 88.610 0
91.919 88.642 0
92.285 88.674 0
92.651 88.705 0
93.018 88.737 0
93.384 88.769 0
93.750 88.800 0
94.116 88.831 0
94.482 88.862 0
94.849 88.893 0
95.215 88.924 0
95.581 88.955 0
95.947 88.986 0
96.313 89.016 0
96.680 89.047 0
97.046 89.077 0
97.412 89.107 0
97.778 89.137 0
98.145 89.167 0
98.511 89.197 0
98.877 89.227 0
99.243 89.229 0
99.609 89.244 0
99.976 89.258 0
100.342 89.272 0
100.708 89.287 0
101.074 89.301 0
101.440 89.315 0
101.807 89.329 0
102.173 89.343 0
102.539 89.357 0
102.905 89.371 0
103.271 89.385 0
103.638 89.399 0
104.004 89.413 0
104.370 89.427 0
104.736 89.441 0
105.103 89.454 0
105.469 89.468 0
105.835 89.482 0
106.201 89.495 0
106.567 89.509 0
106.934 89.522 0
107.300 89.536 0
107.666 89.549 0
108.032 89.562 0
108.398 89.576 0
108.765 89.589 0
109.131 89.602 0
109.497 89.615 0
109.863 89.628 0
110.229 89.641 0
110.596 89.654 0
110.962 89.667 0
111.328 89.680 0
111.694 89.693 0
112.061 89.706 0
112.427 89.719 0
112.793 89.732 0
113.159 89.744 0
113.525 89.757 0
113.892 89.770 0
114.258 89.782 0
114.624 89.795 0
114.990 89.807 0
115.356 89.820 0
115.723 89.832 0
116.089 89.845 0
116.455 89.857 0
116.821 89.869 0
117.188 89.882 0
117.554 89.894 0
117.920 89.906 0
118.286 89.918 0
118.652 89.930 0
119.019 89.942 0
119.385 89.955 0
119.751 89.967 0
120.117 89.979 0
120.483 89.990 0
120.850 90.002 0
121.216 90.014 0
121.582 90.026 0
121.948 90.038 0
122.314 90.050 0
122.681 90.061 0
123.047 90.073 0
123.413 90.085 0
123.779 90.096 0
124.146 90.108 0
124.512 90.066 0
124.878 90.028 0
125.244 89.990 0
125.610 89.953 0
125.977 89.915 0
126.343 89.878 0
126.709 89.841 0
127.075 89.804 0
127.441 89.767 0
127.808 89.730 0
128.174 89.693 0
128.540 89.656 0
128.906 89.620 0
129.272 89.583 0
129.639 89.547 0
130.005 89.510 0
130.371 89.474 0
130.737 89.438 0
131.104 89.402 0
131.470 89.366 0
131.836 89.330 0
132.202 89.295 0
132.568 89.259 0
132.935 89.224 0
133.301 89.188 0
133.667 89.153 0
134.033 89.118 0
134.399 89.083 0
134.766 89.048 0
135.132 89.013 0
135.498 88.978 0
135.864 88.943 0
136.230 88.908 0
136.597 88.874 0
136.963 88.839 0
137.329 88.805 0
137.695 88.771 0
138.062 88.737 0
138.428 88.703 0
138.794 88.669 0
139.160 88.635 0
139.526 88.601 0
139.893 88.567 0
140.259 88.533 0
140.625 88.500 0
140.991 88.466 0
141.357 88.433 0
141.724 88.400 0
142.090 88.367 0
142.456 88.333 0
142.822 88.300 0
143.188 88.267 0
143.555 88.235 0
143.921 88.202 0
144.287 88.169 0
144.653 88.137 0
145.020 88.104 0
145.386 88.072 0
145.752 88.039 0
146.118 88.007 0
146.484 87.975 0
146.851 87.943 0
147.217 87.910 0
147.583 87.879 0
147.949 87.847 0
148.315 87.815 0
148.682 87.783 0
149.048 87.751 0
149.414 87.720 0
149.780 87.688 0
150.146 87.657 0
150.513 87.626 0
150.879 87.594 0
151.245 87.563 0
151.611 87.532 0
151.978 87.501 0
152.344 87.470 0
152.710 87.439 0
153.076 87.408 0
153.442 87.378 0
153.809 87.347 0
154.175 87.316 0
154.541 87.286 0
154.907 87.255 0
155.273 87.225 0
155.640 87.195 0
156.006 87.164 0
156.372 87.134 0
156.738 87.148 0
157.104 87.151 0
157.471 87.154 0
157.837 87.157 0
158.203 87.160 0
158.569 87.163 0
158.936 87.166 0
159.302 87.169 0
159.668 87.172 0
160.034 87.175 0
160.400 87.178 0
160.767 87.181 0
161.133 87.184 0
161.499 87.186 0
161.865 87.189 0
162.231 87.192 0
162.598 87.195 0
162.964 87.198 0
163.330 87.201 0
163.696 87.204 0
164.062 87.207 0
164.429 87.209 0
164.795 87.212 0
165.161 87.215 0
165.527 87.218 0
165.894 87.221 0
166.260 87.224 0
166.626 87.226 0
166.992 87.229 0
167.358 87.232 0
167.725 87.235 0
168.091 87.238 0
168.457 87.240 0
168.823 87.243 0
169.189 87.246 0
169.556 87.249 0
169.922 87.251 0
170.288 87.254 0
170.654 87.257 0
171.021 87.260 0
171.387 87.262 0
171.753 87.265 0
172.119 87.268 0
172.485 87.271 0
172.852 87.273 0
173.218 87.276 0
173.584 87.279 0
173.950 87.281 0
174.316 87.284 0
174.683 87.287 0
175.049 87.289 0
175.415 87.292 0
175.781 87.295 0
176.147 87.297 0
176.514 87.300 0
176.880 87.303 0
177.246 87.305 0
177.612 87.308 0
177.979 87.311 0
178.345 87.313 0
178.711 87.316 0
179.077 87.318 0
179.443 87.321 0
179.810 87.324 0
180.176 87.326 0
180.542 87.329 0
180.908 87.331 0
181.274 87.334 0
181.641 87.337 0
182.007 87.339 0
182.373 87.342 0
182.739 87.344 0
183.105 87.347 0
183.472 87.349 0
183.838 87.352 0
184.204 87.355 0
184.570 87.357 0
184.937 87.360 0
185.303 87.362 0
185.669 87.365 0
186.035 87.367 0
186.401 87.370 0
186.768 87.372 0
187.134 87.375 0
187.500 87.377 0
187.866 87.380 0
188.232 87.382 0
188.599 87.385 0
188.965 87.387 0
189.331 87.390 0
189.697 87.392 0
190.063 87.395 0
190.430 87.397 0
190.796 87.399 0
191.162 87.402 0
191.528 87.404 0
191.895 87.407 0
192.261 87.409 0
192.627 87.412 0
192.993 87.414 0
193.359 87.417 0
193.726 87.419 0
194.092 87.421 0
194.458 87.424 0
194.824 87.426 0
195.190 87.429 0
195.557 87.431 0
195.923 87.433 0
196.289 87.436 0
196.655 87.438 0
197.021 87.441 0
197.388 87.460 0
197.754 87.471 0
198.120 87.483 0
198.486 87.494 0
198.853 87.506 0
199.219 87.517 0
199.585 87.529 0
199.951 87.540 0
200.317 87.551 0
200.684 87.563 0
201.050 87.574 0
201.416 87.585 0
201.782 87.597 0
202.148 87.608 0
202.515 87.619 0
202.881 87.631 0
203.247 87.642 0
203.613 87.653 0
203.979 87.664 0
204.346 87.675 0
204.712 87.686 0
205.078 87.697 0
205.444 87.709 0
205.811 87.720 0
206.177 87.731 0
206.543 87.742 0
206.909 87.753 0
207.275 87.764 0
207.642 87.775 0
208.008 87.786 0
208.374 87.797 0
208.740 87.807 0
209.106 87.818 0
209.473 87.829 0
209.839 87.840 0
210.205 87.851 0
210.571 87.862 0
210.938 87.873 0
211.304 87.883 0
211.670 87.894 0
212.036 87.905 0
212.402 87.916 0
212.769 87.926 0
213.135 87.937 0
213.501 87.948 0
213.867 87.958 0
214.233 87.969 0
214.600 87.979 0
214.966 87.990 0
215.332 88.001 0
215.698 88.011 0
216.064 88.022 0
216.431 88.032 0
216.797 88.043 0
217.163 88.053 0
217.529 88.064 0
217.896 88.074 0
218.262 88.085 0
218.628 88.095 0
218.994 88.105 0
219.360 88.116 0
219.727 88.126 0
220.093 88.137 0
220.459 88.147 0
220.825 88.157 0
221.191 88.167 0
221.558 88.178 0
221.924 88.188 0
222.290 88.198 0
222.656 88.209 0
223.022 88.219 0
223.389 88.229 0
223.755 88.239 0
224.121 88.249 0
224.487 88.259 0
224.854 88.270 0
225.220 88.280 0
225.586 88.290 0
225.952 88.300 0
226.318 88.310 0
226.685 88.320 0
227.051 88.330 0
227.417 88.340 0
227.783 88.350 0
228.149 88.360 0
228.516 88.370 0
228.882 88.380 0
229.248 88.390 0
229.614 88.400 0
229.980 88.410 0
230.347 88.420 0
230.713 88.429 0
231.079 88.439 0
