* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point 1/3 octave RTA using Hann window and 32 averages 
* Dated: 23-jun-2021 12:55:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point 1/3 octave RTA using Hann window and 32 averages Input RMS 113,6 dB, 112,2 dBC, 113,9 dBA
* Measurement: jun 23 12:55:21
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
14.648 72.376 0
15.015 72.376 0
15.381 72.376 0
15.747 72.376 0
16.113 72.376 0
16.479 72.376 0
16.846 72.376 0
17.212 72.376 0
17.578 72.376 0
17.944 72.376 0
18.311 72.376 0
18.677 72.376 0
19.043 72.376 0
19.409 72.376 0
19.775 72.376 0
20.142 72.376 0
20.508 72.376 0
20.874 75.179 0
21.240 75.179 0
21.606 75.179 0
21.973 75.179 0
22.339 75.179 0
22.705 75.179 0
23.071 75.179 0
23.438 75.179 0
23.804 75.179 0
24.170 75.179 0
24.536 75.179 0
24.902 75.179 0
25.269 75.179 0
25.635 75.179 0
26.001 75.179 0
26.367 75.179 0
26.733 79.417 0
27.100 79.417 0
27.466 79.417 0
27.832 79.417 0
28.198 79.417 0
28.564 79.417 0
28.931 79.417 0
29.297 79.417 0
29.663 79.417 0
30.029 79.417 0
30.396 79.417 0
30.762 79.417 0
31.128 79.417 0
31.494 79.417 0
31.860 79.417 0
32.227 79.417 0
32.593 82.006 0
32.959 82.006 0
33.325 82.006 0
33.691 82.006 0
34.058 82.006 0
34.424 82.006 0
34.790 82.006 0
35.156 82.006 0
35.522 82.006 0
35.889 82.006 0
36.255 82.006 0
36.621 82.006 0
36.987 82.006 0
37.354 82.006 0
37.720 82.006 0
38.086 82.006 0
38.452 83.186 0
38.818 83.186 0
39.185 83.186 0
39.551 83.186 0
39.917 83.186 0
40.283 83.186 0
40.649 83.186 0
41.016 83.186 0
41.382 83.186 0
41.748 83.186 0
42.114 83.186 0
42.480 83.186 0
42.847 83.186 0
43.213 83.186 0
43.579 83.186 0
43.945 83.186 0
44.312 83.744 0
44.678 83.744 0
45.044 83.744 0
45.410 83.744 0
45.776 83.744 0
46.143 83.744 0
46.509 83.744 0
46.875 83.744 0
47.241 83.744 0
47.607 83.744 0
47.974 83.744 0
48.340 83.744 0
48.706 83.744 0
49.072 83.744 0
49.438 83.744 0
49.805 83.744 0
50.171 83.744 0
50.537 83.744 0
50.903 83.744 0
51.270 83.744 0
51.636 83.744 0
52.002 83.744 0
52.368 83.744 0
52.734 83.744 0
53.101 83.744 0
53.467 83.744 0
53.833 83.744 0
54.199 83.744 0
54.565 83.744 0
54.932 83.744 0
55.298 83.744 0
55.664 80.309 0
56.030 80.309 0
56.396 80.309 0
56.763 80.309 0
57.129 80.309 0
57.495 80.309 0
57.861 80.309 0
58.228 80.309 0
58.594 80.309 0
58.960 80.309 0
59.326 80.309 0
59.692 80.309 0
60.059 80.309 0
60.425 80.309 0
60.791 80.309 0
61.157 80.309 0
61.523 80.309 0
61.890 80.309 0
62.256 80.309 0
62.622 80.309 0
62.988 80.309 0
63.354 80.309 0
63.721 80.309 0
64.087 80.309 0
64.453 80.309 0
64.819 80.309 0
65.186 80.309 0
65.552 80.309 0
65.918 80.309 0
66.284 80.309 0
66.650 80.309 0
67.017 80.309 0
67.383 80.309 0
67.749 80.309 0
68.115 80.309 0
68.481 80.309 0
68.848 80.309 0
69.214 80.309 0
69.580 80.309 0
69.946 80.309 0
70.312 78.442 0
70.679 78.442 0
71.045 78.442 0
71.411 78.442 0
71.777 78.442 0
72.144 78.442 0
72.510 78.442 0
72.876 78.442 0
73.242 78.442 0
73.608 78.442 0
73.975 78.442 0
74.341 78.442 0
74.707 78.442 0
75.073 78.442 0
75.439 78.442 0
75.806 78.442 0
76.172 78.442 0
76.538 78.442 0
76.904 78.442 0
77.271 78.442 0
77.637 78.442 0
78.003 78.442 0
78.369 78.442 0
78.735 78.442 0
79.102 78.442 0
79.468 78.442 0
79.834 78.442 0
80.200 78.442 0
80.566 78.442 0
80.933 78.442 0
81.299 78.442 0
81.665 78.442 0
82.031 78.442 0
82.397 78.442 0
82.764 78.442 0
83.130 78.442 0
83.496 78.442 0
83.862 78.442 0
84.229 78.442 0
84.595 78.442 0
84.961 78.442 0
85.327 78.442 0
85.693 78.442 0
86.060 78.442 0
86.426 78.442 0
86.792 78.442 0
87.158 78.442 0
87.524 78.442 0
87.891 78.442 0
88.257 81.153 0
88.623 81.153 0
88.989 81.153 0
89.355 81.153 0
89.722 81.153 0
90.088 81.153 0
90.454 81.153 0
90.820 81.153 0
91.187 81.153 0
91.553 81.153 0
91.919 81.153 0
92.285 81.153 0
92.651 81.153 0
93.018 81.153 0
93.384 81.153 0
93.750 81.153 0
94.116 81.153 0
94.482 81.153 0
94.849 81.153 0
95.215 81.153 0
95.581 81.153 0
95.947 81.153 0
96.313 81.153 0
96.680 81.153 0
97.046 81.153 0
97.412 81.153 0
97.778 81.153 0
98.145 81.153 0
98.511 81.153 0
98.877 81.153 0
99.243 81.153 0
99.609 81.153 0
99.976 81.153 0
100.342 81.153 0
100.708 81.153 0
101.074 81.153 0
101.440 81.153 0
101.807 81.153 0
102.173 81.153 0
102.539 81.153 0
102.905 81.153 0
103.271 81.153 0
103.638 81.153 0
104.004 81.153 0
104.370 81.153 0
104.736 81.153 0
105.103 81.153 0
105.469 81.153 0
105.835 81.153 0
106.201 81.153 0
106.567 81.153 0
106.934 81.153 0
107.300 81.153 0
107.666 81.153 0
108.032 81.153 0
108.398 81.153 0
108.765 81.153 0
109.131 81.153 0
109.497 81.153 0
109.863 81.153 0
110.229 81.153 0
110.596 81.153 0
110.962 83.498 0
111.328 83.498 0
111.694 83.498 0
112.061 83.498 0
112.427 83.498 0
112.793 83.498 0
113.159 83.498 0
113.525 83.498 0
113.892 83.498 0
114.258 83.498 0
114.624 83.498 0
114.990 83.498 0
115.356 83.498 0
115.723 83.498 0
116.089 83.498 0
116.455 83.498 0
116.821 83.498 0
117.188 83.498 0
117.554 83.498 0
117.920 83.498 0
118.286 83.498 0
118.652 83.498 0
119.019 83.498 0
119.385 83.498 0
119.751 83.498 0
120.117 83.498 0
120.483 83.498 0
120.850 83.498 0
121.216 83.498 0
121.582 83.498 0
121.948 83.498 0
122.314 83.498 0
122.681 83.498 0
123.047 83.498 0
123.413 83.498 0
123.779 83.498 0
124.146 83.498 0
124.512 83.498 0
124.878 83.498 0
125.244 83.498 0
125.610 83.498 0
125.977 83.498 0
126.343 83.498 0
126.709 83.498 0
127.075 83.498 0
127.441 83.498 0
127.808 83.498 0
128.174 83.498 0
128.540 83.498 0
128.906 83.498 0
129.272 83.498 0
129.639 83.498 0
130.005 83.498 0
130.371 83.498 0
130.737 83.498 0
131.104 83.498 0
131.470 83.498 0
131.836 83.498 0
132.202 83.498 0
132.568 83.498 0
132.935 83.498 0
133.301 83.498 0
133.667 83.498 0
134.033 83.498 0
134.399 83.498 0
134.766 83.498 0
135.132 83.498 0
135.498 83.498 0
135.864 83.498 0
136.230 83.498 0
136.597 83.498 0
136.963 83.498 0
137.329 83.498 0
137.695 83.498 0
138.062 83.498 0
138.428 83.498 0
138.794 83.498 0
139.160 83.498 0
139.526 81.245 0
139.893 81.245 0
140.259 81.245 0
140.625 81.245 0
140.991 81.245 0
141.357 81.245 0
141.724 81.245 0
142.090 81.245 0
142.456 81.245 0
142.822 81.245 0
143.188 81.245 0
143.555 81.245 0
143.921 81.245 0
144.287 81.245 0
144.653 81.245 0
145.020 81.245 0
145.386 81.245 0
145.752 81.245 0
146.118 81.245 0
146.484 81.245 0
146.851 81.245 0
147.217 81.245 0
147.583 81.245 0
147.949 81.245 0
148.315 81.245 0
148.682 81.245 0
149.048 81.245 0
149.414 81.245 0
149.780 81.245 0
150.146 81.245 0
150.513 81.245 0
150.879 81.245 0
151.245 81.245 0
151.611 81.245 0
151.978 81.245 0
152.344 81.245 0
152.710 81.245 0
153.076 81.245 0
153.442 81.245 0
153.809 81.245 0
154.175 81.245 0
154.541 81.245 0
154.907 81.245 0
155.273 81.245 0
155.640 81.245 0
156.006 81.245 0
156.372 81.245 0
156.738 81.245 0
157.104 81.245 0
157.471 81.245 0
157.837 81.245 0
158.203 81.245 0
158.569 81.245 0
158.936 81.245 0
159.302 81.245 0
159.668 81.245 0
160.034 81.245 0
160.400 81.245 0
160.767 81.245 0
161.133 81.245 0
161.499 81.245 0
161.865 81.245 0
162.231 81.245 0
162.598 81.245 0
162.964 81.245 0
163.330 81.245 0
163.696 81.245 0
164.062 81.245 0
164.429 81.245 0
164.795 81.245 0
165.161 81.245 0
165.527 81.245 0
165.894 81.245 0
166.260 81.245 0
166.626 81.245 0
166.992 81.245 0
167.358 81.245 0
167.725 81.245 0
168.091 81.245 0
168.457 81.245 0
168.823 81.245 0
169.189 81.245 0
169.556 81.245 0
169.922 81.245 0
170.288 81.245 0
170.654 81.245 0
171.021 81.245 0
171.387 81.245 0
171.753 81.245 0
172.119 81.245 0
172.485 81.245 0
172.852 81.245 0
173.218 81.245 0
173.584 81.245 0
173.950 81.245 0
174.316 81.245 0
174.683 81.245 0
175.049 81.245 0
175.415 81.245 0
175.781 81.624 0
176.147 81.624 0
176.514 81.624 0
176.880 81.624 0
177.246 81.624 0
177.612 81.624 0
177.979 81.624 0
178.345 81.624 0
178.711 81.624 0
179.077 81.624 0
179.443 81.624 0
179.810 81.624 0
180.176 81.624 0
180.542 81.624 0
180.908 81.624 0
181.274 81.624 0
181.641 81.624 0
182.007 81.624 0
182.373 81.624 0
182.739 81.624 0
183.105 81.624 0
183.472 81.624 0
183.838 81.624 0
184.204 81.624 0
184.570 81.624 0
184.937 81.624 0
185.303 81.624 0
185.669 81.624 0
186.035 81.624 0
186.401 81.624 0
186.768 81.624 0
187.134 81.624 0
187.500 81.624 0
187.866 81.624 0
188.232 81.624 0
188.599 81.624 0
188.965 81.624 0
189.331 81.624 0
189.697 81.624 0
190.063 81.624 0
190.430 81.624 0
190.796 81.624 0
191.162 81.624 0
191.528 81.624 0
191.895 81.624 0
192.261 81.624 0
192.627 81.624 0
192.993 81.624 0
193.359 81.624 0
193.726 81.624 0
194.092 81.624 0
194.458 81.624 0
194.824 81.624 0
195.190 81.624 0
195.557 81.624 0
195.923 81.624 0
196.289 81.624 0
196.655 81.624 0
197.021 81.624 0
197.388 81.624 0
197.754 81.624 0
198.120 81.624 0
198.486 81.624 0
198.853 81.624 0
199.219 81.624 0
199.585 81.624 0
199.951 81.624 0
200.317 81.624 0
200.684 81.624 0
201.050 81.624 0
201.416 81.624 0
201.782 81.624 0
202.148 81.624 0
202.515 81.624 0
202.881 81.624 0
203.247 81.624 0
203.613 81.624 0
203.979 81.624 0
204.346 81.624 0
204.712 81.624 0
205.078 81.624 0
205.444 81.624 0
205.811 81.624 0
206.177 81.624 0
206.543 81.624 0
206.909 81.624 0
207.275 81.624 0
207.642 81.624 0
208.008 81.624 0
208.374 81.624 0
208.740 81.624 0
209.106 81.624 0
209.473 81.624 0
209.839 81.624 0
210.205 81.624 0
210.571 81.624 0
210.938 81.624 0
211.304 81.624 0
211.670 81.624 0
212.036 81.624 0
212.402 81.624 0
212.769 81.624 0
213.135 81.624 0
213.501 81.624 0
213.867 81.624 0
214.233 81.624 0
214.600 81.624 0
214.966 81.624 0
215.332 81.624 0
215.698 81.624 0
216.064 81.624 0
216.431 81.624 0
216.797 81.624 0
217.163 81.624 0
217.529 81.624 0
217.896 81.624 0
218.262 81.624 0
218.628 81.624 0
218.994 81.624 0
219.360 81.624 0
219.727 81.624 0
220.093 81.624 0
220.459 81.624 0
220.825 81.624 0
221.191 83.012 0
221.558 83.012 0
221.924 83.012 0
222.290 83.012 0
222.656 83.012 0
223.022 83.012 0
223.389 83.012 0
223.755 83.012 0
224.121 83.012 0
224.487 83.012 0
224.854 83.012 0
225.220 83.012 0
225.586 83.012 0
225.952 83.012 0
226.318 83.012 0
226.685 83.012 0
227.051 83.012 0
227.417 83.012 0
227.783 83.012 0
228.149 83.012 0
