* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point spectrum using Hann window and no averaging 
* Dated: 16-jun-2021 13:04:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point spectrum using Hann window and no averaging Input RMS 107,4 dB, 105,9 dBC, 107,5 dBA
* Measurement: jun 16 13:04:44
* Smoothing: 1/48 octave
* Frequency Step: 5.859375 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
11.719 74.034 0
17.578 74.145 0
23.438 74.039 0
29.297 74.746 0
35.156 89.240 0
41.016 90.035 0
46.875 85.782 0
52.734 82.793 0
58.594 75.029 0
64.453 68.839 0
70.312 73.338 0
76.172 -120.000 0
82.031 71.756 0
87.891 64.526 0
93.750 71.733 0
99.609 69.615 0
105.469 63.065 0
111.328 61.283 0
117.188 72.971 0
123.047 77.792 0
128.906 77.610 0
134.766 72.324 0
140.625 64.682 0
146.484 69.781 0
152.344 69.363 0
158.203 69.619 0
164.062 68.872 0
169.922 66.263 0
175.781 60.349 0
181.641 62.200 0
187.500 68.350 0
193.359 67.440 0
199.219 62.417 0
205.078 61.475 0
210.938 63.212 0
216.797 68.327 0
222.656 69.261 0
228.516 64.990 0
234.375 61.084 0
240.234 61.921 0
246.094 59.413 0
251.953 67.322 0
257.812 70.957 0
263.672 70.091 0
269.531 64.545 0
275.391 65.706 0
281.250 67.413 0
287.109 67.289 0
292.969 70.444 0
298.828 71.330 0
304.688 70.141 0
310.547 70.427 0
316.406 72.421 0
322.266 73.571 0
328.125 71.857 0
333.984 66.168 0
339.844 69.665 0
345.703 72.573 0
351.562 70.991 0
357.422 66.931 0
363.281 66.303 0
369.141 64.482 0
375.000 59.262 0
380.859 64.048 0
386.719 66.218 0
392.578 66.140 0
398.438 66.117 0
404.297 66.369 0
410.156 67.993 0
416.016 69.878 0
421.875 70.355 0
427.734 69.427 0
433.594 67.648 0
439.453 65.236 0
445.312 64.050 0
451.172 68.152 0
457.031 71.150 0
462.891 71.053 0
468.750 67.206 0
474.609 56.015 0
480.469 60.550 0
486.328 64.520 0
492.188 65.383 0
498.047 65.945 0
503.906 66.750 0
509.766 66.410 0
515.625 65.980 0
521.484 71.308 0
527.344 75.513 0
533.203 76.771 0
539.062 75.070 0
544.922 70.203 0
550.781 70.449 0
556.641 74.478 0
562.500 75.457 0
568.359 73.965 0
574.219 71.093 0
580.078 69.710 0
585.938 69.942 0
591.797 70.273 0
597.656 70.798 0
603.516 70.474 0
609.375 68.401 0
615.234 65.355 0
621.094 65.388 0
626.953 67.593 0
632.812 68.751 0
638.672 68.921 0
644.531 70.294 0
650.391 72.782 0
656.250 74.038 0
662.109 73.264 0
667.969 70.270 0
673.828 65.995 0
679.688 65.560 0
685.547 66.893 0
691.406 67.150 0
697.266 67.694 0
703.125 69.067 0
708.984 69.943 0
714.844 69.714 0
720.703 68.844 0
726.562 68.442 0
732.422 68.978 0
738.281 69.878 0
744.141 70.645 0
750.000 71.050 0
755.859 70.904 0
761.719 70.193 0
767.578 69.921 0
773.438 71.195 0
779.297 72.503 0
785.156 72.442 0
791.016 70.709 0
796.875 68.253 0
802.734 68.513 0
808.594 70.409 0
814.453 71.106 0
820.312 70.323 0
826.172 68.977 0
832.031 68.937 0
837.891 69.733 0
843.750 69.577 0
849.609 67.949 0
855.469 65.745 0
861.328 65.933 0
867.188 67.906 0
873.047 69.457 0
878.906 70.396 0
884.766 70.715 0
890.625 70.236 0
896.484 69.165 0
902.344 68.508 0
908.203 68.816 0
914.062 69.272 0
919.922 69.353 0
925.781 68.959 0
931.641 67.927 0
937.500 66.513 0
943.359 66.603 0
949.219 68.755 0
955.078 70.666 0
960.938 71.344 0
966.797 70.636 0
972.656 68.839 0
978.516 68.005 0
984.375 70.100 0
990.234 72.708 0
996.094 74.618 0
1001.953 75.738 0
1007.812 75.994 0
1013.672 75.263 0
1019.531 73.472 0
1025.391 70.858 0
1031.250 68.964 0
1037.109 69.801 0
1042.969 71.507 0
1048.828 72.407 0
1054.688 72.302 0
1060.547 71.669 0
1066.406 71.536 0
1072.266 72.265 0
1078.125 72.993 0
1083.984 73.106 0
1089.844 72.606 0
1095.703 71.890 0
1101.562 71.397 0
1107.422 71.112 0
1113.281 70.862 0
1119.141 70.929 0
1125.000 71.554 0
1130.859 72.291 0
1136.719 72.634 0
1142.578 72.429 0
1148.438 71.662 0
1154.297 70.298 0
1160.156 68.328 0
1166.016 66.073 0
1171.875 64.599 0
1177.734 64.843 0
1183.594 66.069 0
1189.453 67.294 0
1195.312 68.068 0
1201.172 68.198 0
1207.031 67.711 0
1212.891 67.058 0
1218.750 67.178 0
1224.609 68.357 0
1230.469 69.747 0
1236.328 70.655 0
1242.188 70.824 0
1248.047 70.192 0
1253.906 68.801 0
1259.766 66.877 0
1265.625 64.996 0
1271.484 63.896 0
1277.344 63.743 0
1283.203 64.454 0
1289.062 66.107 0
1294.922 68.222 0
1300.781 70.059 0
1306.641 71.236 0
1312.500 71.680 0
1318.359 71.519 0
1324.219 71.089 0
1330.078 70.832 0
1335.938 70.868 0
1341.797 70.848 0
1347.656 70.412 0
1353.516 69.495 0
1359.375 68.369 0
1365.234 67.535 0
1371.094 67.210 0
1376.953 67.011 0
1382.812 66.445 0
1388.672 65.324 0
1394.531 64.086 0
1400.391 64.107 0
1406.250 65.755 0
1412.109 67.579 0
1417.969 68.736 0
1423.828 69.050 0
1429.688 68.533 0
1435.547 67.276 0
1441.406 65.575 0
1447.266 64.337 0
1453.125 64.708 0
1458.984 66.164 0
1464.844 67.516 0
1470.703 68.349 0
1476.562 68.748 0
1482.422 68.995 0
1488.281 69.303 0
1494.141 69.602 0
1500.000 69.684 0
1505.859 69.464 0
1511.719 69.079 0
1517.578 68.818 0
1523.438 68.927 0
1529.297 69.462 0
1535.156 70.286 0
1541.016 71.133 0
1546.875 71.732 0
1552.734 71.915 0
1558.594 71.665 0
1564.453 71.119 0
1570.312 70.546 0
1576.172 70.241 0
1582.031 70.349 0
1587.891 70.764 0
1593.750 71.219 0
1599.609 71.448 0
1605.469 71.294 0
1611.328 70.769 0
1617.188 70.097 0
1623.047 69.661 0
1628.906 69.661 0
1634.766 69.876 0
1640.625 69.999 0
1646.484 69.979 0
1652.344 70.009 0
1658.203 70.257 0
1664.062 70.612 0
1669.922 70.817 0
1675.781 70.730 0
1681.641 70.402 0
1687.500 70.020 0
1693.359 69.742 0
1699.219 69.567 0
1705.078 69.407 0
1710.938 69.270 0
1716.797 69.348 0
1722.656 69.852 0
1728.516 70.728 0
1734.375 71.653 0
1740.234 72.314 0
1746.094 72.531 0
1751.953 72.241 0
1757.812 71.467 0
1763.672 70.306 0
1769.531 68.952 0
1775.391 67.725 0
1781.250 67.048 0
1787.109 67.209 0
1792.969 68.032 0
1798.828 69.050 0
1804.688 69.905 0
1810.547 70.457 0
1816.406 70.730 0
1822.266 70.848 0
1828.125 70.952 0
1833.984 71.094 0
1839.844 71.228 0
1845.703 71.287 0
1851.562 71.284 0
1857.422 71.305 0
1863.281 71.437 0
1869.141 71.668 0
1875.000 71.881 0
1880.859 71.920 0
1886.719 71.663 0
1892.578 71.051 0
1898.438 70.127 0
1904.297 69.084 0
1910.156 68.281 0
1916.016 68.007 0
1921.875 68.175 0
1927.734 68.450 0
1933.594 68.592 0
1939.453 68.515 0
1945.312 68.216 0
1951.172 67.706 0
1957.031 67.003 0
1962.891 66.175 0
1968.750 65.444 0
1974.609 65.207 0
1980.469 65.733 0
1986.328 66.812 0
1992.188 68.022 0
1998.047 69.081 0
2003.906 69.874 0
2009.766 70.376 0
2015.625 70.600 0
2021.484 70.593 0
2027.344 70.431 0
2033.203 70.223 0
2039.062 70.067 0
2044.922 69.973 0
2050.781 69.860 0
2056.641 69.627 0
2062.500 69.257 0
2068.359 68.871 0
2074.219 68.692 0
2080.078 68.871 0
2085.938 69.330 0
2091.797 69.845 0
2097.656 70.223 0
2103.516 70.368 0
2109.375 70.267 0
2115.234 69.962 0
2121.094 69.535 0
2126.953 69.099 0
2132.812 68.800 0
2138.672 68.808 0
2144.531 69.209 0
2150.391 69.904 0
2156.250 70.658 0
2162.109 71.255 0
2167.969 71.577 0
2173.828 71.591 0
2179.688 71.332 0
2185.547 70.887 0
2191.406 70.376 0
2197.266 69.926 0
2203.125 69.631 0
2208.984 69.515 0
2214.844 69.532 0
2220.703 69.602 0
2226.562 69.659 0
2232.422 69.680 0
2238.281 69.674 0
2244.141 69.660 0
2250.000 69.647 0
2255.859 69.630 0
2261.719 69.616 0
2267.578 69.633 0
2273.438 69.719 0
2279.297 69.887 0
2285.156 70.106 0
2291.016 70.299 0
2296.875 70.380 0
2302.734 70.277 0
2308.594 69.966 0
2314.453 69.495 0
2320.312 69.014 0
2326.172 68.758 0
2332.031 68.907 0
2337.891 69.411 0
2343.750 70.040 0
2349.609 70.569 0
2355.469 70.873 0
2361.328 70.916 0
2367.188 70.738 0
2373.047 70.441 0
2378.906 70.186 0
2384.766 70.150 0
2390.625 70.440 0
2396.484 71.025 0
2402.344 71.763 0
2408.203 72.492 0
2414.062 73.085 0
2419.922 73.465 0
2425.781 73.606 0
2431.641 73.521 0
2437.500 73.265 0
2443.359 72.920 0
2449.219 72.575 0
2455.078 72.289 0
2460.938 72.065 0
2466.797 71.860 0
2472.656 71.622 0
2478.516 71.322 0
2484.375 70.972 0
2490.234 70.617 0
2496.094 70.314 0
2501.953 70.106 0
2507.812 70.003 0
2513.672 69.984 0
2519.531 70.007 0
2525.391 70.016 0
2531.250 69.962 0
2537.109 69.811 0
2542.969 69.559 0
2548.828 69.234 0
2554.688 68.891 0
2560.547 68.599 0
2566.406 68.412 0
2572.266 68.341 0
2578.125 68.356 0
2583.984 68.408 0
2589.844 68.460 0
2595.703 68.505 0
2601.562 68.555 0
2607.422 68.633 0
2613.281 68.754 0
2619.141 68.925 0
2625.000 69.149 0
2630.859 69.434 0
2636.719 69.800 0
2642.578 70.270 0
2648.438 70.851 0
2654.297 71.526 0
2660.156 72.252 0
2666.016 72.970 0
2671.875 73.623 0
2677.734 74.156 0
2683.594 74.521 0
2689.453 74.683 0
2695.312 74.617 0
2701.172 74.310 0
2707.031 73.763 0
2712.891 72.997 0
2718.750 72.055 0
2724.609 71.016 0
2730.469 70.009 0
2736.328 69.202 0
2742.188 68.752 0
2748.047 68.708 0
2753.906 68.980 0
2759.766 69.421 0
2765.625 69.906 0
2771.484 70.370 0
2777.344 70.787 0
2783.203 71.152 0
2789.062 71.459 0
2794.922 71.699 0
2800.781 71.856 0
2806.641 71.921 0
2812.500 71.901 0
2818.359 71.816 0
2824.219 71.699 0
2830.078 71.582 0
2835.938 71.492 0
2841.797 71.447 0
2847.656 71.458 0
2853.516 71.533 0
2859.375 71.665 0
2865.234 71.829 0
2871.094 71.980 0
2876.953 72.066 0
2882.812 72.041 0
2888.672 71.877 0
2894.531 71.561 0
2900.391 71.102 0
2906.250 70.521 0
2912.109 69.859 0
2917.969 69.175 0
2923.828 68.551 0
2929.688 68.096 0
2935.547 67.913 0
2941.406 68.047 0
2947.266 68.451 0
2953.125 69.007 0
2958.984 69.585 0
2964.844 70.092 0
2970.703 70.469 0
2976.562 70.699 0
2982.422 70.787 0
2988.281 70.761 0
2994.141 70.664 0
3000.000 70.543 0
3005.859 70.447 0
3011.719 70.412 0
3017.578 70.452 0
3023.438 70.554 0
3029.297 70.681 0
3035.156 70.788 0
3041.016 70.835 0
3046.875 70.800 0
3052.734 70.687 0
3058.594 70.524 0
3064.453 70.360 0
3070.312 70.249 0
3076.172 70.237 0
3082.031 70.337 0
3087.891 70.532 0
3093.750 70.784 0
3099.609 71.057 0
3105.469 71.321 0
3111.328 71.558 0
3117.188 71.754 0
3123.047 71.897 0
3128.906 71.980 0
3134.766 72.000 0
3140.625 71.965 0
3146.484 71.893 0
3152.344 71.805 0
3158.203 71.723 0
3164.062 71.656 0
3169.922 71.603 0
3175.781 71.554 0
3181.641 71.504 0
3187.500 71.451 0
3193.359 71.401 0
3199.219 71.361 0
3205.078 71.338 0
3210.938 71.340 0
