* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point spectrum using Hann window and 32 averages 
* Dated: 23-jun-2021 12:56:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point spectrum using Hann window and 32 averages Input RMS 113,6 dB, 112,2 dBC, 113,9 dBA
* Measurement: jun 23 12:56:12
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
11.719 75.362 0
17.578 75.734 0
23.438 77.288 0
29.297 80.557 0
35.156 82.354 0
41.016 82.864 0
46.875 82.842 0
52.734 82.488 0
58.594 79.865 0
64.453 76.458 0
70.312 75.020 0
76.172 74.581 0
82.031 75.237 0
87.891 76.846 0
93.750 77.119 0
99.609 77.868 0
105.469 76.519 0
111.328 75.565 0
117.188 79.018 0
123.047 80.135 0
128.906 78.525 0
134.766 76.971 0
140.625 75.451 0
146.484 77.049 0
152.344 75.673 0
158.203 74.443 0
164.062 73.682 0
169.922 74.184 0
175.781 73.341 0
181.641 73.326 0
187.500 72.568 0
193.359 73.217 0
199.219 74.807 0
205.078 75.461 0
210.938 76.159 0
216.797 75.033 0
222.656 75.819 0
228.516 75.369 0
234.375 74.101 0
240.234 73.973 0
246.094 75.050 0
251.953 75.580 0
257.812 74.901 0
263.672 74.886 0
269.531 74.733 0
275.391 74.094 0
281.250 74.657 0
287.109 75.064 0
292.969 76.117 0
298.828 76.547 0
304.688 75.263 0
310.547 74.924 0
316.406 76.664 0
322.266 76.198 0
328.125 76.179 0
333.984 75.987 0
339.844 76.136 0
345.703 74.738 0
351.562 74.942 0
357.422 75.669 0
363.281 75.376 0
369.141 75.992 0
375.000 76.153 0
380.859 76.798 0
386.719 76.458 0
392.578 75.864 0
398.438 75.947 0
404.297 76.715 0
410.156 75.665 0
416.016 76.362 0
421.875 77.278 0
427.734 76.671 0
433.594 75.702 0
439.453 75.440 0
445.312 76.250 0
451.172 75.107 0
457.031 76.179 0
462.891 75.625 0
468.750 75.679 0
474.609 74.779 0
480.469 75.675 0
486.328 77.273 0
492.188 76.160 0
498.047 75.343 0
503.906 76.757 0
509.766 76.503 0
515.625 74.698 0
521.484 74.238 0
527.344 75.643 0
533.203 76.325 0
539.062 77.142 0
544.922 76.801 0
550.781 76.122 0
556.641 75.461 0
562.500 75.561 0
568.359 75.879 0
574.219 76.411 0
580.078 75.987 0
585.938 77.328 0
591.797 76.134 0
597.656 75.164 0
603.516 74.863 0
609.375 74.686 0
615.234 75.313 0
621.094 75.641 0
626.953 73.146 0
632.812 74.416 0
638.672 74.630 0
644.531 75.013 0
650.391 74.606 0
656.250 74.403 0
662.109 75.022 0
667.969 74.980 0
673.828 74.751 0
679.688 74.456 0
685.547 76.058 0
691.406 75.908 0
697.266 76.375 0
703.125 76.910 0
708.984 76.458 0
714.844 74.888 0
720.703 75.794 0
726.562 75.496 0
732.422 74.982 0
738.281 75.278 0
744.141 76.513 0
750.000 75.667 0
755.859 75.450 0
761.719 76.024 0
767.578 75.529 0
773.438 76.633 0
779.297 76.538 0
785.156 76.199 0
791.016 75.310 0
796.875 74.697 0
802.734 75.432 0
808.594 74.983 0
814.453 75.017 0
820.312 75.266 0
826.172 74.510 0
832.031 74.039 0
837.891 75.030 0
843.750 76.561 0
849.609 75.847 0
855.469 75.457 0
861.328 76.219 0
867.188 76.430 0
873.047 75.997 0
878.906 75.724 0
884.766 74.703 0
890.625 74.613 0
896.484 75.217 0
902.344 75.925 0
908.203 75.855 0
914.062 76.188 0
919.922 75.668 0
925.781 75.301 0
931.641 75.704 0
937.500 77.141 0
943.359 75.274 0
949.219 74.316 0
955.078 76.509 0
960.938 75.809 0
966.797 76.540 0
972.656 77.192 0
978.516 77.065 0
984.375 76.763 0
990.234 75.659 0
996.094 75.917 0
1001.953 76.145 0
1007.812 76.177 0
1013.672 75.891 0
1019.531 74.916 0
1025.391 75.803 0
1031.250 76.492 0
1037.109 75.498 0
1042.969 76.983 0
1048.828 76.923 0
1054.688 76.747 0
1060.547 76.281 0
1066.406 77.026 0
1072.266 78.038 0
1078.125 76.750 0
1083.984 77.257 0
1089.844 77.632 0
1095.703 76.604 0
1101.562 76.203 0
1107.422 76.383 0
1113.281 76.257 0
1119.141 76.398 0
1125.000 76.733 0
1130.859 76.435 0
1136.719 75.833 0
1142.578 75.977 0
1148.438 77.781 0
1154.297 77.904 0
1160.156 76.993 0
1166.016 76.072 0
1171.875 74.381 0
1177.734 76.191 0
1183.594 76.339 0
1189.453 75.866 0
1195.312 76.519 0
1201.172 75.910 0
1207.031 74.679 0
1212.891 74.214 0
1218.750 74.985 0
1224.609 76.948 0
1230.469 76.657 0
1236.328 76.561 0
1242.188 77.109 0
1248.047 76.264 0
1253.906 74.836 0
1259.766 74.366 0
1265.625 75.591 0
1271.484 76.151 0
1277.344 74.578 0
1283.203 74.781 0
1289.062 75.979 0
1294.922 75.511 0
1300.781 74.451 0
1306.641 74.741 0
1312.500 74.897 0
1318.359 74.801 0
1324.219 75.481 0
1330.078 75.137 0
1335.938 76.142 0
1341.797 76.450 0
1347.656 74.918 0
1353.516 75.772 0
1359.375 76.197 0
1365.234 75.986 0
1371.094 76.253 0
1376.953 76.804 0
1382.812 75.704 0
1388.672 75.503 0
1394.531 74.679 0
1400.391 75.451 0
1406.250 76.404 0
1412.109 75.454 0
1417.969 76.333 0
1423.828 75.613 0
1429.688 75.229 0
1435.547 75.954 0
1441.406 75.990 0
1447.266 75.420 0
1453.125 73.266 0
1458.984 73.457 0
1464.844 75.048 0
1470.703 74.823 0
1476.562 75.132 0
1482.422 75.147 0
1488.281 75.052 0
1494.141 75.191 0
1500.000 76.594 0
1505.859 75.269 0
1511.719 75.310 0
1517.578 75.286 0
1523.438 75.115 0
1529.297 75.890 0
1535.156 76.206 0
1541.016 75.562 0
1546.875 75.575 0
1552.734 75.835 0
1558.594 75.302 0
1564.453 75.686 0
1570.312 76.253 0
1576.172 76.403 0
1582.031 76.104 0
1587.891 75.450 0
1593.750 75.206 0
1599.609 75.738 0
1605.469 75.702 0
1611.328 74.906 0
1617.188 73.781 0
1623.047 74.677 0
1628.906 76.148 0
1634.766 76.180 0
1640.625 73.931 0
1646.484 74.875 0
1652.344 74.539 0
1658.203 75.892 0
1664.062 76.505 0
1669.922 76.159 0
1675.781 74.248 0
1681.641 74.420 0
1687.500 76.191 0
1693.359 75.234 0
1699.219 73.904 0
1705.078 74.318 0
1710.938 75.507 0
1716.797 76.941 0
1722.656 76.746 0
1728.516 75.991 0
1734.375 74.768 0
1740.234 74.974 0
1746.094 75.198 0
1751.953 75.305 0
1757.812 76.453 0
1763.672 75.263 0
1769.531 74.235 0
1775.391 75.167 0
1781.250 77.001 0
1787.109 76.438 0
1792.969 76.755 0
1798.828 75.755 0
1804.688 75.189 0
1810.547 76.178 0
1816.406 76.843 0
1822.266 76.244 0
1828.125 76.843 0
1833.984 76.293 0
1839.844 76.276 0
1845.703 75.174 0
1851.562 76.689 0
1857.422 76.020 0
1863.281 75.543 0
1869.141 76.766 0
1875.000 77.736 0
1880.859 77.127 0
1886.719 77.302 0
1892.578 77.444 0
1898.438 77.230 0
1904.297 76.930 0
1910.156 76.955 0
1916.016 76.836 0
1921.875 76.908 0
1927.734 77.797 0
1933.594 76.896 0
1939.453 75.787 0
1945.312 75.613 0
1951.172 76.777 0
1957.031 76.937 0
1962.891 76.293 0
1968.750 77.130 0
1974.609 76.569 0
1980.469 76.683 0
1986.328 75.828 0
1992.188 76.578 0
1998.047 78.102 0
2003.906 78.749 0
2009.766 78.155 0
2015.625 76.202 0
2021.484 76.718 0
2027.344 76.005 0
2033.203 76.074 0
2039.062 75.548 0
2044.922 76.784 0
2050.781 77.807 0
2056.641 76.289 0
2062.500 76.508 0
2068.359 76.003 0
2074.219 76.039 0
2080.078 78.040 0
2085.938 78.914 0
2091.797 77.629 0
2097.656 77.032 0
2103.516 76.578 0
2109.375 77.022 0
2115.234 77.320 0
2121.094 76.782 0
2126.953 76.120 0
2132.812 76.971 0
2138.672 77.043 0
2144.531 75.563 0
2150.391 76.712 0
2156.250 76.121 0
2162.109 76.806 0
2167.969 75.545 0
2173.828 75.909 0
2179.688 76.680 0
2185.547 75.401 0
2191.406 76.152 0
2197.266 77.438 0
2203.125 77.426 0
2208.984 76.812 0
2214.844 74.708 0
2220.703 76.286 0
2226.562 76.885 0
2232.422 77.959 0
2238.281 77.303 0
2244.141 77.113 0
2250.000 76.991 0
2255.859 76.406 0
2261.719 76.199 0
2267.578 76.817 0
2273.438 77.143 0
2279.297 77.012 0
2285.156 77.506 0
2291.016 76.839 0
2296.875 77.079 0
2302.734 77.285 0
2308.594 77.284 0
2314.453 76.633 0
2320.312 75.661 0
2326.172 76.030 0
2332.031 76.454 0
2337.891 76.892 0
2343.750 76.884 0
2349.609 76.437 0
2355.469 76.316 0
2361.328 77.603 0
2367.188 75.821 0
2373.047 77.473 0
2378.906 77.633 0
2384.766 77.789 0
2390.625 76.712 0
2396.484 76.248 0
2402.344 76.764 0
2408.203 76.783 0
2414.062 77.708 0
2419.922 77.405 0
2425.781 77.611 0
2431.641 77.578 0
2437.500 76.869 0
2443.359 75.964 0
2449.219 76.214 0
2455.078 76.262 0
2460.938 75.567 0
2466.797 76.394 0
2472.656 76.541 0
2478.516 77.490 0
2484.375 76.812 0
2490.234 77.237 0
2496.094 76.262 0
2501.953 76.790 0
2507.812 77.860 0
2513.672 78.576 0
2519.531 77.885 0
2525.391 76.541 0
2531.250 76.340 0
2537.109 75.612 0
2542.969 77.954 0
2548.828 77.708 0
2554.688 76.183 0
2560.547 76.031 0
2566.406 76.578 0
2572.266 76.890 0
2578.125 75.890 0
2583.984 77.095 0
2589.844 77.934 0
2595.703 77.427 0
2601.562 78.487 0
2607.422 78.350 0
2613.281 77.364 0
2619.141 77.564 0
2625.000 77.022 0
2630.859 77.128 0
2636.719 77.702 0
2642.578 77.120 0
2648.438 76.531 0
2654.297 77.430 0
2660.156 78.794 0
2666.016 78.154 0
2671.875 77.174 0
2677.734 77.705 0
2683.594 77.676 0
2689.453 77.925 0
2695.312 78.166 0
2701.172 77.266 0
2707.031 76.877 0
2712.891 76.784 0
2718.750 75.941 0
2724.609 76.203 0
2730.469 76.434 0
2736.328 76.029 0
2742.188 77.069 0
2748.047 78.506 0
2753.906 78.030 0
2759.766 77.456 0
2765.625 77.595 0
2771.484 77.656 0
2777.344 77.583 0
2783.203 76.652 0
2789.062 77.129 0
2794.922 75.136 0
2800.781 75.885 0
2806.641 76.062 0
2812.500 76.286 0
2818.359 77.683 0
2824.219 77.150 0
2830.078 78.155 0
2835.938 76.528 0
2841.797 75.834 0
2847.656 76.651 0
2853.516 76.840 0
2859.375 76.889 0
2865.234 76.556 0
2871.094 75.546 0
2876.953 76.731 0
2882.812 77.546 0
2888.672 76.292 0
2894.531 77.083 0
2900.391 77.274 0
2906.250 76.826 0
2912.109 75.504 0
2917.969 76.696 0
2923.828 77.345 0
2929.688 76.961 0
2935.547 75.734 0
2941.406 75.527 0
2947.266 77.256 0
2953.125 77.386 0
2958.984 78.273 0
2964.844 78.931 0
2970.703 78.980 0
2976.562 77.946 0
2982.422 77.523 0
2988.281 77.208 0
2994.141 76.358 0
3000.000 76.958 0
3005.859 77.355 0
3011.719 76.546 0
3017.578 76.499 0
3023.438 77.178 0
3029.297 77.879 0
3035.156 78.113 0
3041.016 78.834 0
3046.875 79.735 0
3052.734 78.823 0
3058.594 78.298 0
3064.453 79.124 0
3070.312 78.909 0
3076.172 78.202 0
3082.031 78.967 0
3087.891 79.204 0
3093.750 78.054 0
3099.609 77.857 0
3105.469 78.904 0
3111.328 78.222 0
3117.188 78.001 0
3123.047 78.002 0
3128.906 78.511 0
3134.766 79.489 0
3140.625 79.776 0
3146.484 79.231 0
3152.344 79.475 0
3158.203 80.415 0
3164.062 79.993 0
3169.922 79.587 0
3175.781 79.168 0
3181.641 80.223 0
3187.500 81.624 0
3193.359 81.234 0
3199.219 80.450 0
3205.078 80.729 0
3210.938 79.861 0
