* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: 7-jun-2021 14:14:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 65536-point spectrum using Hann window and no averaging Input RMS 91,1 dB, 81,6 dBC, 77,2 dBA
* Measurement: jun 7 14:14:51
* Smoothing: None
* Frequency Step: 0.7324219 Hz
* Start Frequency: 0.7324219 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.732 41.192 0
1.465 40.863 0
2.197 49.989 0
2.930 46.032 0
3.662 53.319 0
4.395 45.621 0
5.127 56.328 0
5.859 55.942 0
6.592 56.454 0
7.324 56.620 0
8.057 55.046 0
8.789 67.651 0
9.521 83.567 0
10.254 88.787 0
10.986 87.066 0
11.719 82.553 0
12.451 78.444 0
13.184 71.165 0
13.916 56.364 0
14.648 51.662 0
15.381 44.063 0
16.113 46.078 0
16.846 48.515 0
17.578 44.084 0
18.311 47.002 0
19.043 33.385 0
19.775 46.186 0
20.508 48.981 0
21.240 50.108 0
21.973 53.057 0
22.705 67.807 0
23.438 73.222 0
24.170 70.130 0
24.902 53.194 0
25.635 67.864 0
26.367 70.395 0
27.100 67.294 0
27.832 58.803 0
28.564 53.926 0
29.297 54.535 0
30.029 56.288 0
30.762 55.784 0
31.494 54.355 0
32.227 55.168 0
32.959 57.471 0
33.691 60.185 0
34.424 62.556 0
35.156 60.571 0
35.889 56.405 0
36.621 58.198 0
37.354 57.500 0
38.086 53.509 0
38.818 52.867 0
39.551 52.169 0
40.283 44.703 0
41.016 43.567 0
41.748 49.954 0
42.480 46.292 0
43.213 40.471 0
43.945 45.445 0
44.678 40.988 0
45.410 46.794 0
46.143 55.206 0
46.875 63.363 0
47.607 65.531 0
48.340 60.599 0
49.072 51.485 0
49.805 58.737 0
50.537 58.703 0
51.270 50.402 0
52.002 52.702 0
52.734 57.011 0
53.467 55.736 0
54.199 52.391 0
54.932 52.336 0
55.664 47.335 0
56.396 41.208 0
57.129 46.891 0
57.861 43.918 0
58.594 37.138 0
59.326 37.763 0
60.059 34.985 0
60.791 40.358 0
61.523 38.546 0
62.256 33.979 0
62.988 35.870 0
63.721 21.781 0
64.453 39.487 0
65.186 34.049 0
65.918 41.924 0
66.650 46.522 0
67.383 42.426 0
68.115 37.294 0
68.848 32.734 0
69.580 39.448 0
70.312 39.771 0
71.045 42.527 0
71.777 40.545 0
72.510 34.386 0
73.242 40.190 0
73.975 43.637 0
74.707 39.460 0
75.439 37.244 0
76.172 38.522 0
76.904 38.349 0
77.637 39.425 0
78.369 38.921 0
79.102 38.526 0
79.834 27.532 0
80.566 33.985 0
81.299 36.937 0
82.031 41.759 0
82.764 37.028 0
83.496 36.679 0
84.229 38.971 0
84.961 34.953 0
85.693 34.603 0
86.426 38.963 0
87.158 33.433 0
87.891 40.869 0
88.623 44.798 0
89.355 44.181 0
90.088 44.562 0
90.820 40.584 0
91.553 44.543 0
92.285 37.729 0
93.018 39.684 0
93.750 42.792 0
94.482 42.020 0
95.215 42.936 0
95.947 41.334 0
96.680 39.540 0
97.412 36.485 0
98.145 44.600 0
98.877 39.686 0
99.609 41.752 0
100.342 46.595 0
101.074 37.369 0
101.807 38.551 0
102.539 42.259 0
103.271 41.231 0
104.004 43.784 0
104.736 47.657 0
105.469 46.544 0
106.201 49.257 0
106.934 46.633 0
107.666 43.936 0
108.398 47.117 0
109.131 31.803 0
109.863 43.957 0
110.596 39.953 0
111.328 40.838 0
112.061 39.643 0
112.793 31.379 0
113.525 45.248 0
114.258 45.480 0
114.990 34.099 0
115.723 40.091 0
116.455 39.018 0
117.188 37.056 0
117.920 36.943 0
118.652 42.330 0
119.385 61.078 0
120.117 64.591 0
120.850 57.147 0
121.582 30.391 0
122.314 21.914 0
123.047 37.713 0
123.779 32.335 0
124.512 35.797 0
125.244 40.820 0
125.977 43.935 0
126.709 46.122 0
127.441 45.361 0
128.174 39.567 0
128.906 37.059 0
129.639 39.038 0
130.371 31.316 0
131.104 40.126 0
131.836 33.035 0
132.568 36.026 0
133.301 38.038 0
134.033 40.710 0
134.766 42.426 0
135.498 39.107 0
136.230 34.576 0
136.963 37.758 0
137.695 42.758 0
138.428 43.397 0
139.160 52.234 0
139.893 55.220 0
140.625 48.170 0
141.357 47.510 0
142.090 44.509 0
142.822 35.407 0
143.555 38.106 0
144.287 38.468 0
145.020 42.149 0
145.752 39.811 0
146.484 41.419 0
147.217 41.744 0
147.949 34.941 0
148.682 38.267 0
149.414 38.349 0
150.146 35.250 0
150.879 43.672 0
151.611 44.474 0
152.344 41.079 0
153.076 40.682 0
153.809 32.228 0
154.541 36.191 0
155.273 47.463 0
156.006 46.895 0
156.738 18.627 0
157.471 39.773 0
158.203 34.137 0
158.936 41.823 0
159.668 30.028 0
160.400 44.620 0
161.133 44.231 0
161.865 36.456 0
162.598 38.555 0
163.330 28.984 0
164.062 35.634 0
164.795 39.602 0
165.527 40.123 0
166.260 41.826 0
166.992 43.778 0
167.725 46.598 0
168.457 44.819 0
169.189 34.091 0
169.922 41.355 0
170.654 43.679 0
171.387 34.646 0
172.119 24.842 0
172.852 40.589 0
173.584 47.633 0
174.316 49.307 0
175.049 43.795 0
175.781 42.588 0
176.514 44.911 0
177.246 39.186 0
177.979 41.813 0
178.711 35.026 0
179.443 43.675 0
180.176 43.259 0
180.908 42.595 0
181.641 33.306 0
182.373 34.003 0
183.105 42.308 0
183.838 41.779 0
184.570 44.089 0
185.303 41.178 0
186.035 41.647 0
186.768 45.839 0
187.500 44.674 0
188.232 43.482 0
188.965 40.391 0
189.697 36.077 0
190.430 22.053 0
191.162 38.710 0
191.895 36.307 0
192.627 45.914 0
193.359 36.256 0
194.092 44.255 0
194.824 42.122 0
195.557 38.054 0
196.289 39.276 0
197.021 17.122 0
197.754 41.742 0
198.486 45.886 0
199.219 46.364 0
199.951 32.302 0
200.684 27.207 0
201.416 40.759 0
202.148 39.393 0
202.881 14.473 0
203.613 42.335 0
204.346 48.099 0
205.078 40.128 0
205.811 47.400 0
206.543 50.809 0
207.275 44.457 0
208.008 42.063 0
208.740 33.162 0
209.473 45.285 0
210.205 50.262 0
210.938 49.675 0
211.670 36.008 0
212.402 45.122 0
213.135 49.230 0
213.867 47.993 0
214.600 45.470 0
215.332 42.355 0
216.064 45.621 0
216.797 48.344 0
217.529 48.259 0
218.262 48.168 0
218.994 47.209 0
219.727 39.830 0
220.459 30.212 0
221.191 41.859 0
221.924 45.658 0
222.656 42.773 0
223.389 40.307 0
224.121 34.677 0
224.854 37.431 0
225.586 40.457 0
226.318 47.091 0
227.051 49.187 0
227.783 48.022 0
228.516 42.066 0
229.248 41.264 0
229.980 24.288 0
230.713 35.442 0
231.445 33.220 0
232.178 43.322 0
232.910 40.597 0
233.643 40.077 0
234.375 48.523 0
235.107 49.226 0
235.840 44.979 0
236.572 40.751 0
237.305 45.204 0
238.037 44.650 0
238.770 23.473 0
239.502 45.695 0
240.234 46.051 0
240.967 43.684 0
241.699 45.646 0
242.432 48.346 0
243.164 45.846 0
243.896 32.960 0
244.629 46.901 0
245.361 49.036 0
246.094 45.322 0
246.826 44.658 0
247.559 41.658 0
248.291 44.995 0
249.023 43.348 0
249.756 41.179 0
250.488 44.356 0
251.221 48.426 0
251.953 45.297 0
252.686 40.497 0
253.418 33.457 0
254.150 43.781 0
254.883 50.796 0
255.615 49.650 0
256.348 40.575 0
257.080 44.776 0
257.812 45.526 0
258.545 48.108 0
259.277 45.134 0
260.010 42.074 0
260.742 45.358 0
261.475 41.581 0
262.207 28.784 0
262.939 40.215 0
263.672 40.476 0
264.404 34.589 0
265.137 35.026 0
265.869 45.910 0
266.602 42.445 0
267.334 22.193 0
268.066 43.790 0
268.799 38.420 0
269.531 33.231 0
270.264 41.905 0
270.996 41.373 0
271.729 30.127 0
272.461 41.763 0
273.193 52.031 0
273.926 48.463 0
274.658 39.014 0
275.391 45.882 0
276.123 48.561 0
276.855 51.406 0
277.588 52.384 0
278.320 42.589 0
279.053 40.653 0
279.785 40.469 0
280.518 39.067 0
281.250 46.701 0
281.982 42.462 0
282.715 39.213 0
283.447 46.240 0
284.180 50.073 0
284.912 46.138 0
285.645 44.293 0
286.377 48.999 0
287.109 41.821 0
287.842 26.155 0
288.574 43.091 0
289.307 39.732 0
290.039 44.031 0
290.771 46.635 0
291.504 37.817 0
292.236 50.289 0
292.969 50.185 0
293.701 47.921 0
294.434 43.980 0
295.166 43.032 0
295.898 50.041 0
296.631 50.325 0
297.363 43.447 0
298.096 39.271 0
298.828 42.124 0
299.561 50.488 0
300.293 47.871 0
301.025 45.463 0
301.758 47.717 0
302.490 52.417 0
303.223 53.629 0
303.955 44.565 0
304.688 44.241 0
305.420 46.367 0
306.152 27.475 0
306.885 50.395 0
307.617 50.109 0
308.350 51.220 0
309.082 52.647 0
309.814 50.028 0
310.547 37.245 0
311.279 34.909 0
312.012 49.513 0
312.744 45.700 0
313.477 43.686 0
314.209 44.520 0
314.941 40.914 0
315.674 43.269 0
316.406 40.405 0
317.139 37.927 0
317.871 40.219 0
318.604 42.183 0
319.336 32.562 0
320.068 43.782 0
320.801 46.389 0
321.533 40.420 0
322.266 49.027 0
322.998 53.176 0
323.730 53.469 0
324.463 47.544 0
325.195 49.313 0
325.928 39.430 0
326.660 47.092 0
327.393 48.375 0
328.125 50.040 0
328.857 47.038 0
329.590 45.950 0
330.322 26.496 0
331.055 31.364 0
331.787 40.137 0
332.520 47.526 0
333.252 46.783 0
333.984 39.114 0
334.717 44.447 0
335.449 46.348 0
336.182 42.419 0
336.914 46.890 0
337.646 48.237 0
338.379 45.339 0
339.111 47.731 0
339.844 44.550 0
340.576 48.799 0
341.309 47.970 0
342.041 44.033 0
342.773 42.336 0
343.506 41.545 0
344.238 46.639 0
344.971 44.801 0
345.703 35.851 0
346.436 33.821 0
347.168 32.752 0
347.900 38.988 0
348.633 44.677 0
349.365 47.955 0
350.098 43.881 0
350.830 49.363 0
351.562 52.052 0
352.295 39.519 0
353.027 20.242 0
353.760 44.215 0
354.492 46.697 0
355.225 38.623 0
355.957 40.297 0
356.689 45.048 0
357.422 42.631 0
358.154 44.734 0
358.887 49.079 0
359.619 43.043 0
360.352 36.047 0
361.084 41.569 0
361.816 42.591 0
362.549 46.300 0
363.281 40.051 0
364.014 34.885 0
364.746 43.387 0
365.479 35.729 0
366.211 45.954 0
366.943 40.250 0
367.676 38.340 0
368.408 46.451 0
369.141 48.755 0
369.873 50.836 0
370.605 48.504 0
371.338 42.213 0
372.070 40.960 0
372.803 46.740 0
373.535 46.420 0
374.268 31.635 0
375.000 34.650 0
375.732 47.335 0
376.465 46.881 0
377.197 43.496 0
377.930 47.226 0
378.662 49.600 0
379.395 39.158 0
380.127 35.432 0
380.859 42.369 0
381.592 43.272 0
382.324 44.779 0
383.057 44.752 0
383.789 48.108 0
384.521 45.767 0
385.254 44.895 0
385.986 49.003 0
386.719 39.861 0
387.451 24.727 0
388.184 42.481 0
388.916 40.342 0
389.648 37.143 0
390.381 45.167 0
391.113 48.990 0
391.846 42.533 0
392.578 43.280 0
393.311 42.156 0
394.043 49.521 0
394.775 50.507 0
395.508 50.912 0
396.240 50.410 0
396.973 49.703 0
397.705 48.967 0
398.438 48.035 0
399.170 46.912 0
399.902 41.592 0
400.635 45.617 0
401.367 50.147 0
402.100 48.442 0
402.832 42.291 0
403.564 47.692 0
404.297 50.174 0
405.029 48.766 0
405.762 49.877 0
406.494 49.106 0
407.227 40.087 0
407.959 45.881 0
408.691 47.975 0
409.424 44.765 0
410.156 41.962 0
410.889 51.362 0
411.621 53.169 0
412.354 52.090 0
413.086 49.297 0
413.818 49.380 0
414.551 52.349 0
415.283 50.981 0
416.016 41.839 0
416.748 41.261 0
417.480 39.200 0
418.213 44.319 0
418.945 44.033 0
419.678 45.452 0
420.410 42.391 0
421.143 54.090 0
421.875 53.799 0
422.607 45.962 0
423.340 40.417 0
424.072 47.024 0
424.805 40.938 0
425.537 45.008 0
426.270 40.631 0
427.002 39.867 0
427.734 45.507 0
428.467 44.153 0
